Inspection_ID,Timestamp,Date,Hour,Assembly_Line,Product_Category,Shift,Operator,Inspection_Result,Defect_Type,Severity,Confidence,Inference_Latency_ms,Scrap_Cost_USD
INSP-10000,2026-08-26 22:20:20,2026-08-26,22,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-104 (Elena R.),PASS,None,None,0.973,22.51,0.0
INSP-10001,2026-08-26 22:35:20,2026-08-26,22,Line-04 (Welding & Joinery),Pipe_Weld,Shift-A (06:00-14:00),OP-109 (Marcus V.),PASS,None,None,0.97,32.93,0.0
INSP-10002,2026-08-26 23:05:20,2026-08-26,23,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-305 (Priya S.),PASS,None,None,0.982,24.66,0.0
INSP-10003,2026-08-26 23:25:20,2026-08-26,23,Line-02 (Metal Stamping),Chassis_Panel,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.97,25.86,0.0
INSP-10004,2026-08-26 23:55:20,2026-08-26,23,Line-04 (Welding & Joinery),Pipe_Weld,Shift-C (22:00-06:00),OP-109 (Marcus V.),PASS,None,None,0.965,20.79,0.0
INSP-10005,2026-08-27 00:18:20,2026-08-27,0,Line-03 (Precision Machining),Machined_Gear,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.982,29.64,0.0
INSP-10006,2026-08-27 00:45:20,2026-08-27,0,Line-01 (PCB SMT),Circuit_Board,Shift-C (22:00-06:00),OP-212 (Devin K.),PASS,None,None,0.961,30.84,0.0
INSP-10007,2026-08-27 01:00:20,2026-08-27,1,Line-02 (Metal Stamping),Chassis_Panel,Shift-A (06:00-14:00),OP-109 (Marcus V.),PASS,None,None,0.977,21.17,0.0
INSP-10008,2026-08-27 01:19:20,2026-08-27,1,Line-02 (Metal Stamping),Chassis_Panel,Shift-C (22:00-06:00),OP-305 (Priya S.),PASS,None,None,0.98,25.11,0.0
INSP-10009,2026-08-27 01:53:20,2026-08-27,1,Line-01 (PCB SMT),Circuit_Board,Shift-A (06:00-14:00),OP-418 (Chen W.),PASS,None,None,0.97,28.25,0.0
INSP-10010,2026-08-27 02:13:20,2026-08-27,2,Line-03 (Precision Machining),Machined_Gear,Shift-B (14:00-22:00),OP-418 (Chen W.),PASS,None,None,0.982,22.43,0.0
